season,game_type,week,opponent,team,points_favored,over_odds,under_odds,roof,surface,temp,wind,referee,win,team_win_pct,team_net_points,team_sov,team_sos,opponent_win_pct,opponent_net_points,opponent_sov,opponent_sos
2005,DIV,19,WAS,SEA,8.5,,,outdoors,fieldturf,44.0,1.0,Ron Winter,True,0.8125,181,0.403846,0.429688,0.625,66,0.5,0.539062
2005,DIV,19,NE,DEN,3.0,,,outdoors,grass,54.0,3.0,Jeff Triplette,True,0.8125,137,0.471154,0.5,0.625,41,0.4,0.507812
2005,DIV,19,PIT,IND,8.5,,,dome,fieldturf,,,Peter Morelli,False,0.875,192,0.424107,0.457031,0.6875,131,0.414773,0.492188
2005,DIV,19,CAR,CHI,3.0,,,outdoors,grass,40.0,15.0,Walt Coleman,False,0.6875,58,0.397727,0.457031,0.6875,132,0.409091,0.449219
2005,CON,20,PIT,DEN,3.5,,,outdoors,grass,34.0,11.0,Terry McAulay,False,0.8125,137,0.471154,0.5,0.6875,131,0.414773,0.492188
2005,CON,20,CAR,SEA,5.5,,,outdoors,fieldturf,48.0,14.0,Ed Hochuli,True,0.8125,181,0.403846,0.429688,0.6875,132,0.409091,0.449219
2005,SB,21,SEA,PIT,4.0,,,dome,fieldturf,,,Bill Leavy,True,0.6875,131,0.414773,0.492188,0.8125,181,0.403846,0.429688
2006,WC,18,KC,IND,7.0,-108.0,-102.0,dome,fieldturf,,,Jeff Triplette,True,0.75,67,0.505208,0.5,0.5625,16,0.444444,0.492188
2006,WC,18,DAL,SEA,1.0,-104.0,-106.0,outdoors,fieldturf,44.0,15.0,Walt Anderson,True,0.5625,-6,0.381944,0.453125,0.5625,75,0.4375,0.457031
2006,WC,18,NYJ,NE,9.5,-108.0,-102.0,outdoors,fieldturf,50.0,8.0,Bill Vinovich,True,0.75,148,0.46875,0.496094,0.625,21,0.4,0.46875
2006,WC,18,NYG,PHI,6.5,-107.0,-103.0,outdoors,grass,52.0,5.0,Peter Morelli,True,0.625,70,0.45,0.476562,0.5,-7,0.421875,0.519531
2006,DIV,19,IND,BAL,4.0,-118.0,108.0,outdoors,sportturf,63.0,4.0,Bill Leavy,False,0.8125,152,0.447115,0.460938,0.75,67,0.505208,0.5
2006,DIV,19,PHI,NO,5.5,-104.0,-106.0,dome,fieldturf,,,Mike Carey,True,0.625,91,0.425,0.460938,0.625,70,0.45,0.476562
2006,DIV,19,SEA,CHI,3.5,,,outdoors,grass,32.0,0.0,Gerry Austin,True,0.8125,172,0.403846,0.429688,0.5625,-6,0.381944,0.453125
2006,DIV,19,NE,SD,5.0,-102.0,-108.0,outdoors,grass,53.0,6.0,Tony Corrente,False,0.875,189,0.424107,0.457031,0.75,148,0.46875,0.496094
2006,CON,20,NO,CHI,2.5,-108.0,-102.0,outdoors,grass,28.0,10.0,Terry McAulay,True,0.8125,172,0.403846,0.429688,0.625,91,0.425,0.460938
2006,CON,20,NE,IND,3.5,-113.0,103.0,dome,fieldturf,,,Bill Carollo,True,0.75,67,0.505208,0.5,0.75,148,0.46875,0.496094
2006,SB,21,IND,CHI,-6.5,-109.0,-101.0,outdoors,grass,67.0,10.0,Tony Corrente,False,0.8125,172,0.403846,0.429688,0.75,67,0.505208,0.5
2007,WC,18,WAS,SEA,3.0,-101.0,-109.0,outdoors,fieldturf,42.0,13.0,Walt Coleman,True,0.625,102,0.375,0.414062,0.5625,24,0.458333,0.554688
2007,WC,18,JAX,PIT,-2.5,-104.0,-106.0,outdoors,dessograss,39.0,8.0,Scott Green,False,0.625,124,0.40625,0.453125,0.6875,107,0.460227,0.515625
2007,WC,18,NYG,TB,3.0,-105.0,-105.0,outdoors,grass,70.0,5.0,Walt Anderson,False,0.5625,64,0.409722,0.46875,0.625,22,0.375,0.515625
2007,WC,18,TEN,SD,10.5,-103.0,-107.0,outdoors,grass,57.0,8.0,Ed Hochuli,True,0.6875,128,0.431818,0.5,0.625,4,0.4375,0.5
2007,DIV,19,SEA,GB,9.0,-110.0,100.0,outdoors,grass,31.0,4.0,Mike Carey,True,0.8125,144,0.447115,0.46875,0.625,102,0.375,0.414062
2007,DIV,19,JAX,NE,13.5,-102.0,-108.0,outdoors,fieldturf,37.0,5.0,Jerome Boger,True,1.0,315,0.46875,0.46875,0.6875,107,0.460227,0.515625
2007,DIV,19,SD,IND,10.5,-101.0,-109.0,dome,fieldturf,,,Gerry Austin,False,0.8125,188,0.456731,0.515625,0.6875,128,0.431818,0.5
2007,DIV,19,NYG,DAL,7.0,-103.0,-107.0,outdoors,fieldturf,59.0,0.0,Peter Morelli,False,0.8125,130,0.451923,0.496094,0.625,22,0.375,0.515625
2007,CON,20,SD,NE,14.0,-102.0,-108.0,outdoors,fieldturf,23.0,17.0,Jeff Triplette,True,1.0,315,0.46875,0.46875,0.6875,128,0.431818,0.5
2007,CON,20,NYG,GB,7.5,100.0,-110.0,outdoors,grass,-1.0,12.0,Terry McAulay,False,0.8125,144,0.447115,0.46875,0.625,22,0.375,0.515625
2007,SB,21,NYG,NE,12.5,-115.0,105.0,closed,grass,,,Mike Carey,False,1.0,315,0.46875,0.46875,0.625,22,0.375,0.515625
2008,WC,18,ATL,ARI,2.0,,,closed,grass,,,John Parry,True,0.5625,1,0.368056,0.484375,0.6875,66,0.403409,0.457031
2008,WC,18,IND,SD,-1.5,-104.0,-106.0,outdoors,grass,53.0,8.0,Ron Winter,True,0.5,92,0.398438,0.515625,0.75,79,0.489583,0.496094
2008,WC,18,BAL,MIA,-3.5,-113.0,103.0,outdoors,grass,79.0,16.0,Ed Hochuli,False,0.6875,28,0.397727,0.460938,0.6875,141,0.403409,0.515625
2008,WC,18,PHI,MIN,-3.0,-103.0,-107.0,dome,fieldturf,,,Tony Corrente,False,0.625,46,0.43125,0.503906,0.59375,127,0.486111,0.511719
2008,DIV,19,BAL,TEN,3.0,-109.0,-101.0,outdoors,grass,53.0,11.0,Terry McAulay,False,0.8125,141,0.423077,0.457031,0.6875,141,0.403409,0.515625
2008,DIV,19,ARI,CAR,10.0,-118.0,108.0,outdoors,grass,45.0,10.0,Gene Steratore,False,0.75,85,0.432292,0.488281,0.5625,1,0.368056,0.484375
2008,DIV,19,PHI,NYG,4.0,,,outdoors,fieldturf,30.0,20.0,Mike Carey,False,0.75,133,0.494792,0.496094,0.59375,127,0.486111,0.511719
2008,DIV,19,SD,PIT,6.5,100.0,-110.0,outdoors,dessograss,26.0,5.0,Bill Leavy,True,0.75,124,0.453125,0.519531,0.5,92,0.398438,0.515625
2008,CON,20,PHI,ARI,-3.5,-115.0,105.0,closed,grass,,,Walt Anderson,True,0.5625,1,0.368056,0.484375,0.59375,127,0.486111,0.511719
2008,CON,20,BAL,PIT,6.0,100.0,-110.0,outdoors,dessograss,26.0,12.0,Bill Carollo,True,0.75,124,0.453125,0.519531,0.6875,141,0.403409,0.515625
2008,SB,21,PIT,ARI,-6.5,-116.0,106.0,outdoors,grass,66.0,1.0,Terry McAulay,False,0.5625,1,0.368056,0.484375,0.75,124,0.453125,0.519531
2009,WC,18,NYJ,CIN,2.5,-108.0,-102.0,outdoors,fieldturf,21.0,11.0,Bill Leavy,False,0.625,14,0.4375,0.492188,0.5625,112,0.506944,0.515625
2009,WC,18,PHI,DAL,3.5,-109.0,-101.0,closed,fieldturf,,,Ed Hochuli,True,0.6875,111,0.4375,0.488281,0.6875,92,0.403409,0.484375
2009,WC,18,BAL,NE,3.5,-105.0,-105.0,outdoors,fieldturf,20.0,12.0,Gene Steratore,False,0.625,142,0.45,0.515625,0.5625,130,0.402778,0.523438
2009,WC,18,GB,ARI,-2.5,-103.0,-107.0,closed,grass,,,Scott Green,True,0.625,50,0.35625,0.445312,0.6875,164,0.380682,0.441406
2009,DIV,19,ARI,NO,7.0,-116.0,106.0,dome,fieldturf,,,Ron Winter,True,0.8125,169,0.418269,0.425781,0.625,50,0.35625,0.445312
2009,DIV,19,BAL,IND,6.5,-110.0,100.0,closed,fieldturf,,,Carl Cheffers,True,0.875,109,0.473214,0.472656,0.5625,130,0.402778,0.523438
2009,DIV,19,DAL,MIN,2.5,-115.0,105.0,dome,fieldturf,,,Walt Anderson,True,0.75,158,0.411458,0.441406,0.6875,111,0.4375,0.488281
2009,DIV,19,NYJ,SD,9.0,-103.0,-107.0,outdoors,grass,63.0,8.0,Jerome Boger,False,0.8125,134,0.432692,0.453125,0.5625,112,0.506944,0.515625
2009,CON,20,NYJ,IND,8.0,-102.0,-108.0,closed,fieldturf,,,Tony Corrente,True,0.875,109,0.473214,0.472656,0.5625,112,0.506944,0.515625
2009,CON,20,MIN,NO,4.0,-110.0,100.0,dome,fieldturf,,,Peter Morelli,True,0.8125,169,0.418269,0.425781,0.75,158,0.411458,0.441406
2009,SB,21,NO,IND,4.5,-110.0,100.0,outdoors,grass,60.0,6.0,Scott Green,False,0.875,109,0.473214,0.472656,0.8125,169,0.418269,0.425781
2010,WC,18,NO,SEA,-9.5,-102.0,-108.0,outdoors,fieldturf,40.0,8.0,Walt Coleman,True,0.4375,-97,0.401786,0.484375,0.6875,77,0.426136,0.46875
2010,WC,18,NYJ,IND,1.0,-113.0,102.0,closed,fieldturf,,,Gene Steratore,False,0.625,47,0.425,0.472656,0.6875,63,0.409091,0.492188
2010,WC,18,BAL,KC,-3.0,-111.0,101.0,outdoors,grass,26.0,15.0,Mike Carey,False,0.625,40,0.38125,0.414062,0.75,87,0.421875,0.484375
2010,WC,18,GB,PHI,1.0,-111.0,101.0,outdoors,grass,30.0,18.0,Peter Morelli,False,0.625,62,0.50625,0.492188,0.625,148,0.475,0.519531
2010,DIV,19,BAL,PIT,3.5,103.0,-114.0,outdoors,grass,36.0,17.0,Jeff Triplette,True,0.75,143,0.416667,0.5,0.75,87,0.421875,0.484375
2010,DIV,19,GB,ATL,1.0,-103.0,-107.0,dome,fieldturf,,,John Parry,False,0.8125,126,0.4375,0.484375,0.625,148,0.475,0.519531
2010,DIV,19,SEA,CHI,10.0,-102.0,-108.0,outdoors,grass,24.0,4.0,Alberto Riveron,True,0.6875,48,0.420455,0.472656,0.4375,-97,0.401786,0.484375
2010,DIV,19,NYJ,NE,9.5,-106.0,-104.0,outdoors,fieldturf,30.0,14.0,Bill Leavy,False,0.875,205,0.504464,0.503906,0.6875,63,0.409091,0.492188
2010,CON,20,GB,CHI,-3.5,-111.0,101.0,outdoors,grass,20.0,14.0,Terry McAulay,False,0.6875,48,0.420455,0.472656,0.625,148,0.475,0.519531
2010,CON,20,NYJ,PIT,4.0,-113.0,102.0,outdoors,grass,17.0,10.0,Ed Hochuli,True,0.75,143,0.416667,0.5,0.6875,63,0.409091,0.492188
2010,SB,21,PIT,GB,3.0,-117.0,106.0,closed,grass,,,Walt Anderson,True,0.625,148,0.475,0.519531,0.75,143,0.416667,0.5
2011,WC,18,CIN,HOU,4.0,-104.0,-106.0,closed,grass,,,Clete Blakeman,True,0.625,103,0.4125,0.453125,0.5625,21,0.326389,0.492188
2011,WC,18,DET,NO,10.5,-124.0,112.0,dome,sportturf,,,Tony Corrente,True,0.8125,208,0.442308,0.441406,0.625,87,0.39375,0.535156
2011,WC,18,ATL,NYG,3.0,-121.0,110.0,outdoors,fieldturf,44.0,12.0,Carl Cheffers,True,0.5625,-6,0.465278,0.519531,0.625,52,0.375,0.480469
2011,WC,18,PIT,DEN,-7.5,-108.0,-102.0,outdoors,grass,40.0,6.0,Ron Winter,True,0.5,-81,0.445312,0.519531,0.75,98,0.411458,0.492188
2011,DIV,19,NO,SF,-3.5,-117.0,106.0,outdoors,grass,62.0,2.0,John Parry,True,0.8125,151,0.418269,0.449219,0.8125,208,0.442308,0.441406
2011,DIV,19,DEN,NE,14.0,103.0,-114.0,outdoors,fieldturf,24.0,13.0,Gene Steratore,True,0.8125,171,0.423077,0.449219,0.5,-81,0.445312,0.519531
2011,DIV,19,HOU,BAL,7.5,102.0,-113.0,outdoors,sportturf,31.0,7.0,Peter Morelli,True,0.75,112,0.484375,0.476562,0.625,103,0.4125,0.453125
2011,DIV,19,NYG,GB,8.5,-103.0,-107.0,outdoors,grass,31.0,20.0,Bill Leavy,False,0.9375,201,0.458333,0.457031,0.5625,-6,0.465278,0.519531
2011,CON,20,BAL,NE,7.0,-106.0,-104.0,outdoors,fieldturf,29.0,6.0,Alberto Riveron,True,0.8125,171,0.423077,0.449219,0.75,112,0.484375,0.476562
2011,CON,20,NYG,SF,2.0,104.0,-115.0,outdoors,grass,52.0,15.0,Ed Hochuli,False,0.8125,151,0.418269,0.449219,0.5625,-6,0.465278,0.519531
2011,SB,21,NYG,NE,3.0,-108.0,100.0,closed,fieldturf,,,John Parry,False,0.8125,171,0.423077,0.449219,0.5625,-6,0.465278,0.519531
2012,WC,18,CIN,HOU,4.0,-105.0,-105.0,closed,grass,,,Alberto Riveron,True,0.75,85,0.432292,0.496094,0.625,71,0.38125,0.4375
2012,WC,18,MIN,GB,10.5,-109.0,-101.0,outdoors,grass,29.0,9.0,Scott Green,True,0.6875,97,0.4375,0.503906,0.625,31,0.45,0.515625
2012,WC,18,IND,BAL,7.5,-105.0,-105.0,outdoors,sportturf,49.0,8.0,Michael Carey,True,0.625,54,0.4375,0.496094,0.6875,-30,0.403409,0.441406
2012,WC,18,SEA,WAS,-3.0,-108.0,-102.0,outdoors,grass,52.0,3.0,Peter Morelli,False,0.625,48,0.45,0.492188,0.6875,167,0.528409,0.496094
2012,DIV,19,BAL,DEN,9.5,-108.0,-102.0,outdoors,grass,13.0,8.0,Bill Vinovich,False,0.8125,192,0.384615,0.457031,0.625,54,0.4375,0.496094
2012,DIV,19,GB,SF,3.0,-105.0,-105.0,outdoors,grass,48.0,5.0,Jerome Boger,True,0.71875,124,0.477273,0.5,0.6875,97,0.4375,0.503906
2012,DIV,19,SEA,ATL,2.5,-105.0,-105.0,dome,fieldturf,,,Walt Coleman,True,0.8125,120,0.418269,0.421875,0.6875,167,0.528409,0.496094
2012,DIV,19,HOU,NE,9.5,-113.0,102.0,outdoors,fieldturf,51.0,10.0,Tony Corrente,True,0.75,226,0.463542,0.492188,0.75,85,0.432292,0.496094
2012,CON,20,SF,ATL,-3.5,-110.0,100.0,dome,fieldturf,,,Terry McAulay,False,0.8125,120,0.418269,0.421875,0.71875,124,0.477273,0.5
2012,CON,20,BAL,NE,8.0,-103.0,-107.0,outdoors,fieldturf,41.0,18.0,Bill Leavy,False,0.75,226,0.463542,0.492188,0.625,54,0.4375,0.496094
2012,SB,21,BAL,SF,4.5,-108.0,-102.0,dome,astroturf,,,Jerome Boger,False,0.71875,124,0.477273,0.5,0.625,54,0.4375,0.496094
2013,WC,18,KC,IND,-2.0,-108.0,-102.0,closed,fieldturf,,,Walt Anderson,True,0.6875,55,0.448864,0.484375,0.6875,125,0.335227,0.445312
2013,WC,18,NO,PHI,3.0,-110.0,100.0,outdoors,grass,25.0,5.0,Bill Vinovich,False,0.625,60,0.390625,0.453125,0.6875,110,0.454545,0.515625
2013,WC,18,SD,CIN,6.5,-105.0,-105.0,outdoors,fieldturf,42.0,5.0,Jeff Triplette,False,0.6875,125,0.494318,0.480469,0.5625,48,0.548611,0.496094
2013,WC,18,SF,GB,-3.0,-103.0,-107.0,outdoors,grass,5.0,10.0,Ed Hochuli,False,0.53125,-11,0.371094,0.453125,0.75,134,0.414062,0.494141
2013,DIV,19,NO,SEA,10.0,-113.0,102.0,outdoors,fieldturf,48.0,20.0,Terry McAulay,True,0.8125,186,0.444712,0.490234,0.6875,110,0.454545,0.515625
2013,DIV,19,IND,NE,7.5,100.0,-110.0,outdoors,fieldturf,57.0,18.0,Peter Morelli,True,0.75,106,0.427083,0.472656,0.6875,55,0.448864,0.484375
2013,DIV,19,SF,CAR,-0.0,-103.0,-107.0,outdoors,grass,54.0,8.0,Carl Cheffers,False,0.75,125,0.450521,0.494141,0.75,134,0.414062,0.494141
2013,DIV,19,SD,DEN,8.0,-116.0,105.0,outdoors,grass,41.0,17.0,Clete Blakeman,True,0.8125,207,0.423077,0.46875,0.5625,48,0.548611,0.496094
2013,CON,20,NE,DEN,5.0,-104.0,-106.0,outdoors,grass,63.0,9.0,Tony Corrente,True,0.8125,207,0.423077,0.46875,0.75,106,0.427083,0.472656
2013,CON,20,SF,SEA,4.0,-105.0,-105.0,outdoors,fieldturf,43.0,1.0,Gene Steratore,True,0.8125,186,0.444712,0.490234,0.75,134,0.414062,0.494141
2013,SB,21,SEA,DEN,1.5,-107.0,-103.0,outdoors,fieldturf,49.0,4.0,Terry McAulay,False,0.8125,207,0.423077,0.46875,0.8125,186,0.444712,0.490234
2014,WC,18,ARI,CAR,5.5,-103.0,-107.0,outdoors,grass,51.0,6.0,Ed Hochuli,True,0.46875,-35,0.357143,0.488281,0.6875,11,0.477273,0.523438
2014,WC,18,BAL,PIT,3.0,-105.0,-105.0,outdoors,grass,48.0,10.0,Clete Blakeman,False,0.6875,68,0.477273,0.445312,0.625,107,0.375,0.46875
2014,WC,18,CIN,IND,3.5,-106.0,-104.0,closed,fieldturf,,,Carl Cheffers,True,0.6875,89,0.369318,0.476562,0.65625,21,0.425,0.496094
2014,WC,18,DET,DAL,6.0,-104.0,-106.0,closed,matrixturf,,,Peter Morelli,True,0.75,115,0.421875,0.445312,0.6875,39,0.392045,0.46875
2014,DIV,19,BAL,NE,7.0,-105.0,-105.0,outdoors,fieldturf,20.0,12.0,Bill Vinovich,True,0.75,155,0.484375,0.511719,0.625,107,0.375,0.46875
2014,DIV,19,CAR,SEA,13.5,100.0,-110.0,outdoors,fieldturf,48.0,0.0,Terry McAulay,True,0.75,140,0.510417,0.523438,0.46875,-35,0.357143,0.488281
2014,DIV,19,DAL,GB,5.5,-115.0,104.0,outdoors,grass,24.0,0.0,Gene Steratore,True,0.75,138,0.4375,0.480469,0.75,115,0.421875,0.445312
2014,DIV,19,IND,DEN,9.5,-101.0,-109.0,outdoors,grass,40.0,7.0,Bill Leavy,False,0.75,128,0.484375,0.519531,0.6875,89,0.369318,0.476562
2014,CON,20,GB,SEA,8.5,-103.0,-107.0,outdoors,fieldturf,52.0,15.0,Tony Corrente,True,0.75,140,0.510417,0.523438,0.75,138,0.4375,0.480469
2014,CON,20,IND,NE,7.0,-110.0,100.0,outdoors,fieldturf,51.0,15.0,Walt Anderson,True,0.75,155,0.484375,0.511719,0.6875,89,0.369318,0.476562
2014,SB,21,NE,SEA,-1.0,-105.0,-105.0,closed,grass,,,Bill Vinovich,False,0.75,140,0.510417,0.523438,0.75,155,0.484375,0.511719
2015,WC,18,KC,HOU,-3.0,-107.0,-103.0,closed,fieldturf,,,Ron Torbert,False,0.5625,26,0.409722,0.496094,0.6875,118,0.431818,0.496094
2015,WC,18,PIT,CIN,-2.0,100.0,-110.0,outdoors,fieldturf,51.0,5.0,John Parry,False,0.75,140,0.40625,0.476562,0.625,104,0.4625,0.503906
2015,WC,18,SEA,MIN,-4.0,102.0,-113.0,outdoors,fieldturf,-6.0,12.0,Walt Coleman,False,0.6875,63,0.448864,0.503906,0.625,146,0.43125,0.519531
2015,WC,18,GB,WAS,2.0,100.0,-110.0,outdoors,grass,61.0,14.0,Gene Steratore,False,0.5625,9,0.402778,0.464844,0.625,45,0.45,0.53125
2015,DIV,19,KC,NE,6.0,-103.0,-107.0,outdoors,fieldturf,38.0,6.0,Craig Wrolstad,True,0.75,150,0.447917,0.472656,0.6875,118,0.431818,0.496094
2015,DIV,19,GB,ARI,7.0,-108.0,-102.0,closed,grass,,,Clete Blakeman,True,0.8125,176,0.456731,0.476562,0.625,45,0.45,0.53125
2015,DIV,19,SEA,CAR,2.5,106.0,-117.0,outdoors,grass,43.0,7.0,Tony Corrente,True,0.9375,192,0.4375,0.441406,0.625,146,0.43125,0.519531
2015,DIV,19,PIT,DEN,7.0,-110.0,100.0,outdoors,grass,43.0,9.0,Terry McAulay,True,0.75,59,0.479167,0.5,0.625,104,0.4625,0.503906
2015,CON,20,NE,DEN,-2.5,-102.0,-108.0,outdoors,grass,46.0,6.0,Ed Hochuli,True,0.75,59,0.479167,0.5,0.75,150,0.447917,0.472656
2015,CON,20,ARI,CAR,3.5,100.0,-110.0,outdoors,grass,39.0,4.0,Bill Vinovich,True,0.9375,192,0.4375,0.441406,0.8125,176,0.456731,0.476562
2015,SB,21,CAR,DEN,-4.5,-105.0,-105.0,outdoors,grass,76.0,16.0,Clete Blakeman,True,0.75,59,0.479167,0.5,0.9375,192,0.4375,0.441406
2016,WC,18,OAK,HOU,4.0,-103.0,-107.0,closed,fieldturf,,,Ron Torbert,True,0.5625,-49,0.427083,0.501953,0.75,31,0.442708,0.503906
2016,WC,18,DET,SEA,8.0,102.0,-113.0,outdoors,fieldturf,38.0,7.0,Brad Allen,True,0.65625,62,0.425,0.441406,0.5625,-12,0.392361,0.474609
2016,WC,18,MIA,PIT,11.0,-104.0,-106.0,outdoors,grass,17.0,16.0,Craig Wrolstad,True,0.6875,72,0.423295,0.494141,0.625,-17,0.340625,0.455078
2016,WC,18,NYG,GB,5.0,-104.0,-106.0,outdoors,grass,14.0,7.0,Ed Hochuli,True,0.625,44,0.453125,0.507812,0.6875,26,0.454545,0.486328
2016,DIV,19,SEA,ATL,6.5,-113.0,102.0,dome,fieldturf,,,Gene Steratore,True,0.6875,134,0.451705,0.480469,0.65625,62,0.425,0.441406
2016,DIV,19,HOU,NE,16.0,-100.0,-110.0,outdoors,fieldturf,28.0,6.0,Peter Morelli,True,0.875,191,0.424107,0.439453,0.5625,-49,0.427083,0.501953
2016,DIV,19,GB,DAL,5.5,-105.0,-105.0,closed,matrixturf,,,Tony Corrente,False,0.8125,115,0.439904,0.470703,0.625,44,0.453125,0.507812
